CustomerId,PLACEMENT,AGE,TENURE,TARIFF,REV_1,REV_2,REV_3,REV_4,REV_5,REV_6,REV_T,MOU_TOT_1,MOU_TOT_2,MOU_TOT_3,MOU_TOT_4,MOU_TOT_5,MOU_TOT_6,NCLL_1,NCLL_2,NCLL_3,NCLL_4,NCLL_5,NCLL_6,CHURN
1123,1,32,3544,2,9.25,25,21.75,15.58,16.85,20.01,212.94,55.8,86.67,72.4,36.26,52.07,82.18,1,1,0,0,0,1,0
1124,0,38,5443,2,9,9,9,31.4,35.17,34.61,265.93,23.33,107.4,148.15,184.33,163.9,158.53,0,1,0,0,1,3,0
1125,1,69,374,2,11.5,10.75,10.5,17.35,17,21.22,159.07,40.05,21.95,34.03,31.76,35.32,72.91,1,0,0,0,0,0,0
1126,1,44,1701,2,14.25,14.25,14.75,14.77,18.25,24,416.77,0,1.37,9.09,4.31,21.89,100.7,0,0,0,0,0,0,0
1127,1,35,2296,2,15.25,29,24.75,20,25.09,21.87,244.21,64.44,91.48,65.21,42.55,74.89,60.97,0,0,0,0,0,0,0
1128,1,46,1922,1,36.75,30.5,28.5,26.75,33.89,27.75,401.14,194.1,111.74,85.91,73.8,71.34,101.8,0,0,0,0,0,0,0
1129,1,37,5928,2,9,13,9,46.67,99,95.25,385.67,0,0,0,176.18,623.23,596.12,0,0,0,4,9,5,0
1130,0,45,2909,2,9,9,9,9,9,9,147,0,0,0,0,0,0,0,0,0,0,0,0,0
1131,1,32,2950,2,29.5,26.5,31,12.7,18,9,265.2,93.03,100.34,107.18,20.4,11.14,0,0,0,0,0,0,0,1
1132,1,37,3943,2,27.5,28.25,24.5,17.5,17.83,24.6,386.93,120.43,112.16,88.51,42.94,39.04,101.63,3,2,0,0,5,3,0
1133,0,58,3149,2,9,9,9,11.5,15,18.86,169.36,0,54.68,31.02,21.38,29.75,81.62,0,0,0,0,0,0,0
1134,1,68,3801,2,9,9,9,11.68,11,10.59,168.52,19.67,9.07,9.25,11.6,9.89,7.91,0,0,0,0,0,0,1
1135,1,24,736,1,44.5,41.5,42.5,37.64,30.21,31.25,756.1,322.87,267.98,246.53,190.47,167.37,149.6,3,5,6,3,3,3,0
1136,1,44,3847,2,10,13,23.5,16.75,17.82,16.02,216.34,60.14,43.69,53.91,40.71,50.15,56.57,0,1,5,0,2,0,1
1137,1,31,2343,1,16.25,16,16.75,16,26.59,23.75,380.09,5.55,10.3,15.07,14.06,44.2,36.93,0,1,3,0,5,6,0
1138,0,47,3020,1,14.25,15,32,26.09,30.03,32,243.12,2.42,8.01,199.1,116.86,155.09,161.82,0,0,0,0,0,0,0
1139,1,67,5145,2,9.25,19.75,20.5,20,21.5,21.25,211.25,52.95,50.9,58.68,50.44,65.47,57.43,1,0,0,0,0,0,1
1140,1,44,2837,1,21.25,20.75,36.5,35.59,27.36,19,418.2,8.23,86.55,73.68,0,97.08,47.52,3,9,9,0,5,2,0
1141,1,53,4033,2,27.5,25.5,36.25,48.69,27.84,22.25,612.53,116.56,115.57,211.06,303.01,125.96,73.84,0,0,0,0,1,0,0
1142,1,30,2992,1,30.25,33.75,42.75,35.1,24.57,29.75,354.42,144.63,194.35,218.31,191.65,110.36,141.62,0,0,0,0,0,0,0
1143,1,31,1506,1,25.75,22,22,20.8,16.5,15.75,458.3,78.17,54.4,59.44,62.84,6.51,22.45,7,3,4,2,4,1,0
1144,1,53,2862,1,63.75,73.75,76.5,52.39,219,195.5,1981.39,431.61,498.69,550.16,294.89,985.53,775.45,3,0,1,1,66,60,0
1145,1,34,3711,2,36.25,26.25,22,19.25,26.35,34.37,441.72,85.26,48.41,48.77,30.31,75.34,81.16,17,13,9,5,8,18,1
1146,1,58,6451,1,30,43,43.75,14.25,29.25,14.75,444.25,118.26,198.77,262.04,0,85.05,4,4,9,5,0,4,0,0
1147,1,55,2037,1,68,70.75,126.75,56.64,23.52,25.25,1436.66,269.26,305.31,446.88,163.94,25.73,0,18,19,19,11,2,0,0
1148,1,47,448,2,9,28.75,34.75,20,19.75,12.84,847.09,97.56,130.17,187.63,74.93,81.26,26.37,0,0,0,0,0,0,1
1149,1,53,6668,2,9,10.75,20.25,11.35,14.75,18.5,220.85,2.22,57.52,129.67,7.13,36.67,24.47,1,1,1,1,0,4,1
1150,0,21,722,2,12.75,9,9,9,9,9,178.75,2.97,0,0,0,0,0,1,0,0,0,0,0,0
1151,1,43,2076,1,32,33,35,25.25,21.61,21.75,487.86,121.75,126.5,107.48,71.68,65.74,70.42,4,2,3,2,1,0,0
1152,0,60,3517,2,9,9,9,18.4,16.55,26.45,187.15,24.85,33.88,25.98,21.03,29.67,53.33,8,6,3,4,1,6,1
1153,1,36,625,1,29.25,62.5,54,38.11,30.75,34.75,648.61,255.34,333.39,291.41,173.92,161.99,159.31,1,5,5,3,2,4,0
1154,1,33,1833,1,43.5,51.25,57.5,33.26,33.21,52.25,806.72,250.73,345.86,389.83,178.63,143.73,269.92,5,5,7,4,8,14,0
1155,1,64,4427,1,23.75,23.25,22.5,43.25,28.75,25,461.25,77.67,70.97,59.73,128.16,76.31,56.09,1,1,1,1,1,4,0
1156,1,31,1886,1,26,15.5,35.75,43.26,51.49,55,730.5,138.09,8.44,190.84,273.84,331.75,459.83,0,0,0,0,3,0,1
1157,1,32,339,1,46.25,38.25,37.75,36.61,49.82,35.75,395.93,224.71,239.23,283.66,210.82,254.44,216.93,0,0,0,1,9,7,0
1158,1,34,220,2,9.75,9.75,16.25,21.1,19.25,13.94,120.54,50.19,41.02,68.93,69.96,62.38,18,1,0,0,0,1,0,0
1159,0,62,2719,1,14.25,14.25,14.25,14.25,18.25,42,314.25,0,0,0.32,0,39.68,283.55,0,0,0,0,0,0,0
1160,1,70,5436,2,26.25,19.25,24.5,23.5,19,22.8,379.05,74.98,52.17,75.57,75.33,61.9,60.16,9,9,10,5,3,5,0
1161,1,55,1865,2,9.25,19.5,21,24.2,21.23,12.67,275.85,49.87,59.13,56.98,77.22,72.85,30.49,2,2,1,3,1,0,1
1162,1,24,687,1,36.75,31,27.75,34.32,37.23,27.75,700.55,172.61,133.02,96.57,134.61,137.83,110.26,7,4,1,8,9,4,1
1163,1,80,5014,2,43,22.5,11.25,11.4,16.65,9,232.05,269.07,98.34,67.07,17.85,65.27,0,1,1,0,0,0,0,0
1164,0,55,3427,2,9,9,15,14.55,33.72,17.25,265.52,21.32,25.3,44.17,22.7,100.33,23.45,7,4,9,10,11,8,0
1165,1,58,322,2,37.75,10.5,22.5,33.5,42.81,45.03,337.09,195.57,40.23,82.19,151.29,234.28,192.52,1,1,3,3,1,1,0
1166,0,60,4068,1,53.5,50.5,70.25,55.8,64.26,58.25,984.56,370.53,385.32,469.28,375.6,469.03,477.69,3,4,4,3,4,2,0
1167,1,56,3766,2,9,9,9,9,9,9.09,185.59,3.22,10.57,0,0,0,0.29,0,0,0,0,0,0,0
1168,1,46,1354,1,29.75,22.5,18,20.77,19.57,22,303.59,154.24,63,32.07,65.39,49.97,66.73,1,1,1,3,1,2,0
1169,1,49,1400,2,21.25,13.25,9,36.2,39,64.9,329.35,105.02,17.66,0,67.26,65.59,170.98,2,1,0,2,6,5,0
1170,1,51,5932,1,14.75,14.25,14.25,15.69,16.25,20.75,506.19,42.77,42.75,20.67,16.93,12.91,11.91,0,0,0,0,0,0,0
1171,1,39,428,2,12,50,25,34.5,17.25,9,225.25,63.66,105.07,46.89,74.21,8.51,0,5,13,8,13,4,0,1
1172,1,40,672,2,28.5,30.5,36.75,26.7,26.4,27.76,513.86,104.42,132.41,152.78,71.04,78.92,91.59,2,2,3,1,2,2,0
1173,0,57,7039,2,9,9,9,21,36.52,47.18,300.45,0.1,2.22,48.12,99.02,149.72,189.5,0,0,0,1,8,6,0
1174,1,45,5937,2,31.75,19.75,14.75,14.35,13.95,18.96,250.76,129.77,73.69,47.99,30.47,37.62,71.21,1,1,0,0,0,0,0
1175,1,29,1152,2,9.5,10.75,14.5,24.5,31.12,19.97,462.84,46.32,34.02,41.32,64.57,69.58,40.96,3,5,1,12,9,9,0
1176,1,56,904,1,36.5,32,28.5,23.57,14.25,16,522.29,181.23,101.4,108.39,35.12,0,13.01,0,0,0,0,0,0,1
1177,1,53,5132,1,40.25,33.75,49.75,71.4,36.31,35.25,857.46,193.23,121.58,199.06,357.72,134.4,129.73,7,11,12,29,14,6,0
1178,1,43,4581,1,57.25,59,67,14.25,14.25,14.25,699.75,346.3,335.86,415.74,0,0,0,0,1,0,0,0,0,1
1179,1,37,2264,2,46.75,35.25,31,39.95,21.93,28.16,612.29,233.86,138.97,133.69,145.52,70.64,73.35,0,2,5,7,3,9,0
1180,1,37,1633,2,33.75,37.5,49.75,52.25,48.75,33.58,831.33,158.63,181.27,215.89,221.8,203.29,114.27,3,2,3,4,3,4,0
1181,1,48,2881,1,50,27.75,38.25,33,33.21,34.75,655.71,317.57,120.18,113.3,162.2,181.77,142,1,1,2,1,1,1,0
1182,1,59,2898,2,27.25,25,14,36.55,19.82,24.53,285.9,107.17,104,81,170.95,62.64,111.88,0,0,0,0,0,0,0
1183,1,71,6229,2,29,22.25,16.75,14.2,21.36,22.64,265.45,149.4,87.23,82.71,39.54,83.44,89.71,3,2,0,1,1,1,0
1184,1,50,3043,1,17.75,18.75,20.25,18.25,22.46,17.5,293.71,27.45,33.04,37.47,28.2,63.83,30.48,0,0,0,0,0,0,0
1185,0,31,1365,2,9,9,9,14.55,21.21,19.19,206.95,6.57,20.17,14.35,31.67,34.95,37.27,3,3,2,3,3,4,1
1186,1,63,3615,1,35.25,31,22.5,38,26.5,29,641.5,163.82,105.92,54.6,191.61,54.84,83.85,9,11,10,11,18,10,0
1187,1,38,3014,2,9,9,9.75,22.42,18.85,21.97,233.74,0,0,63,94.2,51.55,81.17,0,0,0,1,0,0,0
1188,1,42,4049,1,47,41.75,43.5,45,40.25,37.25,711.5,217.66,184.03,211.28,202.29,189.01,193.84,4,4,4,4,5,0,0
1189,1,68,6426,2,9,9,9,9.87,14.39,14.55,165.81,17.04,33.27,4.92,6.85,30.2,7.42,0,0,0,0,1,0,0
1190,1,84,8281,2,13.5,17,10.75,14.75,19.99,20.36,426.1,7.93,31.41,16.34,19.86,53.5,57.66,1,0,0,2,1,0,0
1191,1,46,2867,1,37.75,40.25,45,33.57,40.44,37.5,616.76,185.99,211.1,255.61,137.66,203.44,195.6,0,0,0,0,0,0,0
1192,1,54,5603,1,28.75,30.25,27,49.32,55.15,27.25,621.97,112.02,134.95,116.77,196.05,305.33,114.99,2,5,0,1,0,2,0
